clean_logit_bias,temperature,synthetic_macro_f1,synthetic_clean_recall,synthetic_adversarial_recall,synthetic_tampered_recall,runtime_camera_clean_fpr,runtime_camera_attack_recall,development_clean_fpr,development_attack_recall,development_clean_fpr_at_camera_floor,development_clean_exposure_span_p95,sem11_false_positive_frames,sem11_false_positive_sessions
1.7000000000000002,0.6459695336677552,0.9024179809428324,0.9944444444444445,0.85,0.8555555555555555,0.0,1.0,0.24444444444444444,1.0,0.2,0.45049329102039337,0,0
1.8,0.6459695336677552,0.8952921809794921,0.9944444444444445,0.8388888888888889,0.8444444444444444,0.0,1.0,0.23333333333333334,1.0,0.17777777777777778,0.4851180464029312,0,0
1.9000000000000001,0.6459695336677552,0.888152843662688,0.9944444444444445,0.8222222222222222,0.8388888888888889,0.0,1.0,0.2222222222222222,1.0,0.15555555555555556,0.5192481279373169,0,0
2.0,0.6459695336677552,0.8809972419417783,0.9944444444444445,0.8055555555555556,0.8333333333333334,0.0,1.0,0.2222222222222222,1.0,0.13333333333333333,0.5524322539567947,0,0
2.1,0.6459695336677552,0.8756855499558419,0.9944444444444445,0.8055555555555556,0.8166666666666667,0.0,1.0,0.2,1.0,0.13333333333333333,0.5842329263687134,0,0
2.2,0.6459695336677552,0.8667539444968982,0.9944444444444445,0.7888888888888889,0.8055555555555556,0.0,1.0,0.2,1.0,0.13333333333333333,0.6142379939556122,0,0
2.3000000000000003,0.6459695336677552,0.8595760392723379,0.9944444444444445,0.7722222222222223,0.8,0.0,1.0,0.18888888888888888,1.0,0.13333333333333333,0.6420703828334808,0,0
2.4000000000000004,0.6459695336677552,0.8559529188767337,0.9944444444444445,0.7611111111111111,0.8,0.0,1.0,0.16666666666666666,1.0,0.12222222222222222,0.6673937737941742,0,0
2.5,0.6459695336677552,0.8469621871642876,0.9944444444444445,0.7444444444444445,0.7888888888888889,0.0,1.0,0.14444444444444443,1.0,0.1111111111111111,0.6899164170026779,0,0
2.6,0.6459695336677552,0.8360184160118539,0.9944444444444445,0.7166666666666667,0.7833333333333333,0.0,1.0,0.13333333333333333,1.0,0.08888888888888889,0.709390714764595,0,0
2.7,0.6459695336677552,0.8161602409987544,0.9944444444444445,0.6888888888888889,0.75,0.0,1.0,0.13333333333333333,1.0,0.07777777777777778,0.7256123274564743,0,0
2.8000000000000003,0.6459695336677552,0.7993012201967425,0.9944444444444445,0.6444444444444445,0.7444444444444445,0.0,1.0,0.13333333333333333,1.0,0.07777777777777778,0.7384161800146103,0,0
2.9000000000000004,0.6459695336677552,0.7915959914685624,0.9944444444444445,0.6222222222222222,0.7444444444444445,0.0,1.0,0.13333333333333333,1.0,0.07777777777777778,0.7476730197668076,0,0
3.0,0.6459695336677552,0.7723485578625865,0.9944444444444445,0.5777777777777777,0.7333333333333333,0.0,1.0,0.1111111111111111,1.0,0.07777777777777778,0.7532855570316315,0,0
3.1,0.6459695336677552,0.7438840790667619,0.9944444444444445,0.5055555555555555,0.7277777777777777,0.0,1.0,0.1111111111111111,1.0,0.07777777777777778,0.7551853209733963,0,0
3.2,0.6459695336677552,0.7012042031487158,0.9944444444444445,0.4111111111111111,0.7111111111111111,0.0,1.0,0.08888888888888889,1.0,0.07777777777777778,0.7533315271139145,0,0
3.3000000000000003,0.6459695336677552,0.6764964844885738,0.9944444444444445,0.3611111111111111,0.7,0.0,1.0,0.07777777777777778,1.0,0.07777777777777778,0.747710719704628,0,0
3.4000000000000004,0.6459695336677552,0.6392994579860828,1.0,0.2833333333333333,0.6888888888888889,0.0,1.0,0.07777777777777778,1.0,0.07777777777777778,0.7383400052785873,0,0
3.5,0.6459695336677552,0.5985840519535824,1.0,0.20555555555555555,0.6833333333333333,0.0,1.0,0.07777777777777778,1.0,0.07777777777777778,0.725271612405777,0,0
3.6,0.6459695336677552,0.5450564760909589,1.0,0.12777777777777777,0.65,0.0,1.0,0.07777777777777778,1.0,0.06666666666666667,0.7085981518030167,0,0
3.7,0.6459695336677552,0.5128322339672633,1.0,0.08888888888888889,0.6222222222222222,0.0,1.0,0.07777777777777778,1.0,0.06666666666666667,0.6884609013795853,0,0
3.8000000000000003,0.6459695336677552,0.4969672244383429,1.0,0.06666666666666667,0.6166666666666667,0.0,1.0,0.07777777777777778,1.0,0.06666666666666667,0.6650558710098267,0,0
3.9000000000000004,0.6459695336677552,0.4771793862702953,1.0,0.05,0.5888888888888889,0.0,1.0,0.07777777777777778,1.0,0.022222222222222223,0.6386398077011108,0,0
4.0,0.6459695336677552,0.4606542714141626,1.0,0.03888888888888889,0.5611111111111111,0.0,1.0,0.07777777777777778,1.0,0.011111111111111112,0.6095331758260727,0,0
4.1000000000000005,0.6459695336677552,0.43229064200931205,1.0,0.022222222222222223,0.5111111111111111,0.0,1.0,0.06666666666666667,1.0,0.0,0.5781184583902359,0,0
4.2,0.6459695336677552,0.4127630403550451,1.0,0.005555555555555556,0.4888888888888889,0.0,1.0,0.06666666666666667,1.0,0.0,0.5448337495326996,0,0
4.3,0.6459695336677552,0.4007176862692989,1.0,0.005555555555555556,0.45555555555555555,0.0,1.0,0.06666666666666667,1.0,0.0,0.5101631283760071,0,0
4.4,0.6459695336677552,0.3863657910290003,1.0,0.0,0.42777777777777776,0.0,1.0,0.03333333333333333,1.0,0.0,0.4746195077896118,0,0
4.5,0.6459695336677552,0.382124943000456,1.0,0.0,0.4166666666666667,0.0,0.967741935483871,0.022222222222222223,1.0,0.0,0.4387255012989044,0,0
4.6000000000000005,0.6459695336677552,0.37128205128205133,1.0,0.0,0.3888888888888889,0.0,0.9032258064516129,0.011111111111111112,0.9666666666666667,0.0,0.40299318730831146,0,0
4.7,0.6459695336677552,0.3623480271499963,1.0,0.0,0.36666666666666664,0.0,0.8709677419354839,0.0,0.9666666666666667,0.0,0.36790257692337036,0,0
4.800000000000001,0.6459695336677552,0.35548790799932356,1.0,0.0,0.35,0.0,0.8709677419354839,0.0,0.9666666666666667,0.0,0.3338841199874878,0,0
4.9,0.6459695336677552,0.34848484848484845,1.0,0.0,0.3333333333333333,0.0,0.8387096774193549,0.0,0.9333333333333333,0.0,0.3013046532869339,0,0
5.0,0.6459695336677552,0.33891498196174524,1.0,0.0,0.3111111111111111,0.0,0.8064516129032258,0.0,0.9333333333333333,0.0,0.27045781910419464,0,0
