session_id,case_id,ground_truth,frame_index,crop_sha256,qr_version,module_count,mask_pattern,version_band,payload_length_bin,payload_utf8_bytes,crop_width,crop_height,observed_pixels_per_module,qr_coverage,quadrilateral_side_ratio,exposure_compensation_supported,exposure_compensation_ev,exposure_adjusted_during_session,raw_quality_status,raw_quality_conditions,raw_mean_luminance,raw_p05_luminance,raw_p95_luminance,raw_dynamic_range,raw_laplacian_variance,raw_dark_fraction,raw_bright_fraction,structural_quality_status,structural_mean_luminance,structural_dynamic_range,structural_laplacian_variance,structural_dark_fraction,structural_bright_fraction,payload_decode_status,payload_hash_matches,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,risk_score
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,0,6e18b123fbd5e286205108472bb37a422d0e204653703a6a1ac2825e4b36d0f4,10,57,4,high_v7_plus,long_97_plus,97,630,630,11.052631578947368,0.190780029296875,1.0891498815604042,True,0.0,False,usable,normal,123.69448545119413,30.711999999999996,219.46325000000002,188.75125000000003,3964.194252183536,0.018793845663265307,0.0,usable,124.1524098373579,189.21325,3986.587368003543,0.018793845663265307,0.0,decoded,True,usable,normal,0.9974299669265747,0.9974299669265747,adversarial,blocked,90
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,1,4164e3204bdb1140adc54fc28e15b745d3efa0b1cfaeca9cd11f6f99f878ced2,10,57,4,high_v7_plus,long_97_plus,97,613,613,10.75438596491228,0.18086263020833335,1.1191829328984049,True,0.0,False,usable,normal,112.08948435506366,24.0,207.794,183.794,3726.3015411303527,0.050103635204081634,0.0,usable,112.1613450055759,183.826,3735.3201906851036,0.050103635204081634,0.0,decoded,True,usable,normal,0.9977108240127563,0.9977108240127563,adversarial,blocked,90
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,2,5b7b8623fa03c6c56034eb3d31835bb3f3eff7b40c862dbc1c3eeea6ce9343ef,10,57,4,high_v7_plus,long_97_plus,97,607,607,10.649122807017545,0.1772607421875,1.127495106438009,True,0.0,False,usable,normal,164.46091689252066,59.71875,255.0,195.28125,4817.972149355437,0.0,0.25801179846938777,usable,164.58371141581551,194.98225,4836.385065215247,0.0,0.25924744897959184,undecodable,False,usable,normal,0.9976518154144287,0.9976518154144287,adversarial,blocked,90
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,3,8a69b5144223a15a23b24740001d8c20b245b4e8234a7f63260aa8565c95eb29,10,57,4,high_v7_plus,long_97_plus,97,630,630,11.052631578947368,0.190257568359375,1.0989179065955457,True,0.0,False,usable,normal,149.19091428173022,65.18725,230.283,165.09574999999998,3431.180063548662,0.0,0.003547512755102041,usable,149.23381624681656,165.16750000000002,3415.761333220313,0.0,0.003926179846938775,decoded,True,usable,normal,0.9955510497093201,0.9955510497093201,adversarial,blocked,90
e56992f8f7ce1db2debb9c22,R7B-05-2EA7CF,adversarial,4,db91a6384f53486d5c4ed4605fab8f1e741d17e0055980b896329310f0cff576,10,57,4,high_v7_plus,long_97_plus,97,606,606,10.631578947368421,0.17628580729166668,1.1448135705116804,True,0.0,False,usable,normal,152.36287159198602,65.975,228.79399999999998,162.819,3231.7649704596497,0.0,0.0016541772959183674,usable,152.51250386638108,163.107,3253.0324952326973,0.0,0.001793686224489796,undecodable,False,usable,normal,0.9978739023208618,0.9978739023208618,adversarial,blocked,90
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,0,e27e4f15b6f973152c58054b3c9555a85c56edd74fd146f0c71053024f3a8f20,3,29,1,low_v1_v3,short_1_32,24,467,467,16.103448275862068,0.10488362630208334,1.0571583010454904,True,-0.3333333432674408,True,usable,normal,129.15952018893103,22.516000000000002,189.712,167.196,2458.46939402617,0.0729233099489796,0.0,usable,129.34324414058742,167.48399999999998,2469.5870039553906,0.0729233099489796,0.0,decoded,True,usable,normal,0.9925286173820496,0.9925286173820496,tampered,blocked,89
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,1,4e4ceeab3d280351d0578d57ca25193d764cc45e2b0d4da7178d5ef8187edff1,3,29,1,low_v1_v3,short_1_32,24,473,473,16.310344827586206,0.10767903645833334,1.0477524407883454,True,-0.3333333432674408,True,usable,normal,129.09018532762246,22.516000000000002,190.196,167.68,2515.784058645146,0.07411910076530612,0.0,usable,129.2139565728032,168.314,2526.70878941502,0.0741390306122449,0.0,decoded,True,usable,normal,0.9955575466156006,0.9955575466156006,tampered,blocked,90
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,2,a1ed9c1d9bc8a1b002d8809ac52263883e71cde59b413795ba7741d1f03a40f9,3,29,1,low_v1_v3,short_1_32,24,475,475,16.379310344827587,0.10872802734375,1.03613471012655,True,-0.3333333432674408,True,usable,normal,185.63270101242503,56.754999999999995,252.125,195.37,3342.8911312716145,0.0,0.3977598852040816,usable,186.09493813776876,195.946,3359.1308957920055,0.0,0.4113919005102041,decoded,True,usable,normal,0.9990093111991882,0.9990093111991882,tampered,blocked,90
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,3,89be7aa04c90e6d4117187169efbc477d7e062871533c8f4ad6ffab0417c04ed,3,29,1,low_v1_v3,short_1_32,24,487,487,16.79310344827586,0.11398396809895833,1.0297640603500837,True,-0.3333333432674408,True,usable,normal,187.92308276864057,59.396,253.0,193.60399999999998,3241.4951355685976,0.0,0.47301498724489793,usable,188.31324023437188,194.30499999999995,3257.7993150736384,0.0,0.4872448979591837,decoded,True,usable,normal,0.9991793632507324,0.9991793632507324,tampered,blocked,90
5fb5f4fb62a6621e73552f21,R7B-06-4F0FC4,tampered,4,2c815ee65bdb1f80364c30b4b8bb80a21ba44cad3ce3cd4ef9f1933d1a544a5b,3,29,1,low_v1_v3,short_1_32,24,486,486,16.75862068965517,0.11369384765625,1.029828516823341,True,-0.3333333432674408,True,usable,normal,184.8845967992396,57.94,251.66074999999998,193.72074999999998,3187.7762511241217,0.0,0.40029097576530615,usable,185.21780466756988,193.789,3196.4200090006993,0.0,0.40768494897959184,decoded,True,usable,normal,0.9985625147819519,0.9985625147819519,tampered,blocked,90
